arm,merge_id,scenario_id,file_path,merge_outcome,JoernDataFlowInterference,JoernUnresolvedReference,JoernInfiniteLoop,JoernInvalidLoopBounds,RM2RenameConflict,file_verdict,runtime_s
ctl,citytechinc_cq-component-maven-plugin__2fb3c23f39,citytechinc_cq-component-maven-plugin__2fb3c23f39__cq-component-maven-plugin_src_main_java_com_citytechinc_cq_component_dialog_maker_impl_SelectionWidgetMaker.java,cq-component-maven-plugin/src/main/java/com/citytechinc/cq/component/dialog/maker/impl/SelectionWidgetMaker.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,72.845
ctl,citytechinc_cq-component-maven-plugin__79dfb91780,citytechinc_cq-component-maven-plugin__79dfb91780__cq-component-maven-plugin_src_main_java_com_citytechinc_cq_component_dialog_impl_SelectionWidget.java,cq-component-maven-plugin/src/main/java/com/citytechinc/cq/component/dialog/impl/SelectionWidget.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,71.588
ctl,clickntap_vimeo__85bd093b58,clickntap_vimeo__85bd093b58__src_main_java_com_clickntap_vimeo_Vimeo.java,src/main/java/com/clickntap/vimeo/Vimeo.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,74.232
ctl,clickntap_vimeo__cedaf74fc7,clickntap_vimeo__cedaf74fc7__src_main_java_com_clickntap_vimeo_Vimeo.java,src/main/java/com/clickntap/vimeo/Vimeo.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,76.853
ctl,clojure_clojure__c862603a33,clojure_clojure__c862603a33__src_jvm_clojure_lang_Compiler.java,src/jvm/clojure/lang/Compiler.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,129.284
ctl,cloudfoundry_cf-java-client__0d588aa1e7,cloudfoundry_cf-java-client__0d588aa1e7__cloudfoundry-client-reactor_src_main_java_org_cloudfoundry_reactor_util_Operator.java,cloudfoundry-client-reactor/src/main/java/org/cloudfoundry/reactor/util/Operator.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,FLAG,FLAG,70.709
ctl,cloudfoundry_cf-java-client__f994a25985,cloudfoundry_cf-java-client__f994a25985__cloudfoundry-client-reactor_src_main_java_org_cloudfoundry_reactor_util_Operator.java,cloudfoundry-client-reactor/src/main/java/org/cloudfoundry/reactor/util/Operator.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,FLAG,FLAG,73.992
ctl,cloudfoundry_cf-java-client__f994a25985,cloudfoundry_cf-java-client__f994a25985__cloudfoundry-client-reactor_src_test_java_org_cloudfoundry_reactor_util_ErrorPayloadMappersTest.java,cloudfoundry-client-reactor/src/test/java/org/cloudfoundry/reactor/util/ErrorPayloadMappersTest.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,73.29
ctl,cloudslang_score__49b00c4bf9,cloudslang_score__49b00c4bf9__runtime-management_runtime-management-impl_src_main_java_io_cloudslang_runtime_impl_python_PythonExecutor.java,runtime-management/runtime-management-impl/src/main/java/io/cloudslang/runtime/impl/python/PythonExecutor.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,72.088
ctl,coutume_imageonmap__20d2a60d29,coutume_imageonmap__20d2a60d29__src_main_java_fr_moribus_imageonmap_ui_MapItemManager.java,src/main/java/fr/moribus/imageonmap/ui/MapItemManager.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,69.697
ctl,dankurka_gwtphonegap__e19aa67e33,dankurka_gwtphonegap__e19aa67e33__src_main_java_com_googlecode_gwtphonegap_client_notification_NotificationBrowserImpl.java,src/main/java/com/googlecode/gwtphonegap/client/notification/NotificationBrowserImpl.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,66.988
ctl,davidmoten_rxjava-slf4j__fbe2fde40f,davidmoten_rxjava-slf4j__fbe2fde40f__src_test_java_com_github_davidmoten_rx_slf4j_LoggingTest.java,src/test/java/com/github/davidmoten/rx/slf4j/LoggingTest.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,72.503
ctl,douglasrodrigo_bfmapper__b0056fd6f8,douglasrodrigo_bfmapper__b0056fd6f8__src_main_java_br_com_bfmapper_Mapping.java,src/main/java/br/com/bfmapper/Mapping.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,76.56
