scenario_id,repo,file_ours,proj_ours,only_proj_ours,only_file_ours,file_theirs,proj_theirs,only_proj_theirs,only_file_theirs,cluster_file,cluster_proj,cluster_proj_full
addthis_stream-lib__c901ea4391__src_main_java_com_clearspring_analytics_stream_cardinality_HyperLogLog.java,addthis_stream-lib,,,,,,,,,NONE,NONE,NONE
addthis_stream-lib__db2ede7429__src_main_java_com_clearspring_analytics_stream_cardinality_HyperLogLog.java,addthis_stream-lib,Add Thrown Exception Type;Inline Method;Rename Variable;Replace Attribute With Variable,Add Thrown Exception Type;Inline Method;Rename Variable;Replace Attribute With Variable,,,,,,,MIGRATE_DECL,MIGRATE_DECL,MIGRATE_DECL
addthis_stream-lib__e0a13b01fb__src_main_java_com_clearspring_analytics_stream_cardinality_HyperLogLogPlus.java,addthis_stream-lib,Extract Method;Merge Conditional;Parameterize Variable;Rename Variable,Extract Method;Merge Conditional;Parameterize Variable;Rename Variable,,,Add Attribute Modifier;Add Method Modifier;Add Parameter;Change Attribute Type;Change Method Access Modifier;Change Parameter Type;Change Return Type;Change Variable Type;Encapsulate Attribute;Extract Method;Rename Method;Rename Variable,Add Attribute Modifier;Add Method Modifier;Add Parameter;Change Attribute Type;Change Method Access Modifier;Change Parameter Type;Change Return Type;Change Variable Type;Encapsulate Attribute;Extract Method;Rename Method;Rename Variable,,,MIGRATE_DECL,MIGRATE_DECL,MIGRATE_DECL
addthis_stream-lib__e221cb6ab7__src_main_java_com_clearspring_analytics_stream_cardinality_HyperLogLogPlus.java,addthis_stream-lib,,,,,Change Variable Type;Rename Variable,Change Variable Type;Rename Variable,,,INTRA_BODY,INTRA_BODY,INTRA_BODY
addthis_stream-lib__e4a8d65ba1__src_main_java_com_clearspring_analytics_stream_cardinality_HyperLogLogPlus.java,addthis_stream-lib,,,,,Extract Method;Merge Conditional;Parameterize Variable;Rename Variable,Extract Method;Merge Conditional;Parameterize Variable;Rename Variable,,,MIGRATE_DECL,MIGRATE_DECL,MIGRATE_DECL
adoptopenjdk_mjprof__44b7a2b3db__src_main_java_com_performizeit_mjstack_MJStack.java,adoptopenjdk_mjprof,,,,,Change Method Access Modifier,Change Method Access Modifier,,,LOCAL_DECL_EDIT,LOCAL_DECL_EDIT,MIGRATE_DECL
adoptopenjdk_mjprof__754462e890__src_main_java_com_performizeit_mjprof_model_SFNode.java,adoptopenjdk_mjprof,,,,,,,,,NONE,NONE,MIGRATE_DECL
adoptopenjdk_mjprof__fde954818e__src_main_java_com_performizeit_mjstack_api_BasePlugin.java,adoptopenjdk_mjprof,,,,,,,,,NONE,NONE,MIGRATE_DECL
aerogear_aerogear-crypto-java__4c895357e7__src_main_java_org_jboss_aerogear_AeroGearCrypto.java,aerogear_aerogear-crypto-java,,,,,,,,,NONE,NONE,MIGRATE_DECL
aerospike_aerospike-client-java__35cdb2c14b__proxy_src_com_aerospike_client_proxy_grpc_GrpcChannelExecutor.java,aerospike_aerospike-client-java,Change Variable Type;Extract Variable;Parameterize Variable;Replace Loop With Pipeline,Change Variable Type;Extract Variable;Parameterize Variable;Replace Loop With Pipeline,,,Add Parameter;Change Variable Type;Rename Variable,Add Parameter;Change Variable Type;Rename Variable,,,INTRA_BODY,INTRA_BODY,INTRA_BODY
