merge_id,repository,merge_sha,left,right,stratum,num_intersecting_files,files_materialized,order
spigotmc_bungeecord__1265dce612,spigotmc/bungeecord,1265dce6125b528890473254c439008d6a54f95f,791757da3ed90904a37fa45db04521998205871d,22bd43f725add677c96a22ccd286f0d47d0fb8b8,gt3,4,1,83
mpatric_mp3agic__cc8c12a759,mpatric/mp3agic,cc8c12a759c75d38927b3dfff05c0aafc989cad7,7c46d3beb119122b0abd94f108c5b66ffd4891fb,3bd2057dc36358ad9fab83033c249f612b802041,gt3,5,3,84
splunk_splunk-library-javalogging__f681fb092f,splunk/splunk-library-javalogging,f681fb092f95c1a40f17f951da04731d83da42aa,4b7f6865171778b106260095f58f0dcd36b6ec27,427bca6419a66c484694ebfe3b16714dd29b0817,gt3,5,4,85
larsga_duke__6767497ccc,larsga/duke,6767497ccc440c9a64ec7526a7feab97a9cce367,5697882659b187d87f460bcd01ef0bf105d274aa,7fb9b5e58c583211067adeced2bdb0c4c59e830c,gt3,6,5,86
laforge49_jactor2__2ace56826c,laforge49/jactor2,2ace56826c6da34c2cbb41dc8e4d30d80d5eefea,97d63bc1cafba87e2b8d6645dec5de1aaaa9482b,0ceff1faf17a840ca915563517df0d205e91a524,gt3,4,3,87
fluentlenium_fluentlenium__1a3d0631c5,fluentlenium/fluentlenium,1a3d0631c5c6fade4d12f339be127cd5b7767e8f,9007f13246d4052bafbe123c609cfb12895739d3,5e015b37c1f051bc98013ea7924b1fdd6bb6c7dd,gt3,9,3,88
adoptopenjdk_mjprof__754462e890,adoptopenjdk/mjprof,754462e890ac29f2155ef2f60aeba253ad15ce76,4962f53609eea0aeef8b98fa156f0d8d12ced109,b53ee16a330b07ab9a9171da60c2919319542260,gt3,5,4,89
jcabi_jcabi-github__725c33e830,jcabi/jcabi-github,725c33e830cce2c5674f1e8ce92f9a46d1255f1d,162b71cfd45d0ab3ff5b79f48c987130f4b94e37,9ddccc2b6792af168dae6904c372d62184c8d537,gt3,5,4,90
dcm4che_dcm4che__af57bb9f01,dcm4che/dcm4che,af57bb9f016f2b44ecbb7650d26ad18591158627,887dc0240c2406c7f0f70f34851011067989e02a,4c9b37d5dc57cd421dcaee476b58a2360886d7c3,gt3,4,3,91
webbit_webbit__089c664c71,webbit/webbit,089c664c71c95df14a01f361316dbe99a27b0182,fa8ee66d296f88482329d1892e47a07e945a4cc1,da44853aa65e0b995aba560405a87c47059cbeb1,gt3,6,5,92
shazam_shazamcrest__9be9807f1c,shazam/shazamcrest,9be9807f1cf79c5a11d69fde25afc99f3fb2f40c,c4fa05990bece3e3ead865e456dd2cfd3fb345d3,fa139e6f61d0cf631855edc581afb7afd724aa8a,gt3,10,4,93
jcabi_jcabi-http__b33d320e5a,jcabi/jcabi-http,b33d320e5a794ad393369a0c141a3afbc1ff53e4,ee483b9296ef0ea74d24d2e44af127c3c9ce83d7,ac7e410c15291f550aa34be929b10dc26d91dd38,gt3,10,8,94
teamed_qulice__ad93f0b28b,teamed/qulice,ad93f0b28b154ea6cbd4901d05f3bedc74a0ec82,d577051ce5ead53e8c888a9be4624835169cfc68,4b1608ac72f3a55879cc4583143355faf3982981,gt3,4,2,95
mbosecke_pebble__6e59941fc9,mbosecke/pebble,6e59941fc929111cf62862c2ff11e16d0269f6aa,7e004604794f22fc49fcf81d42556f6035d688d5,628d8f82c583bae710e4e6f15c6c734b2e0ca606,gt3,4,3,96
lemire_javaewah__a9dc33b4eb,lemire/javaewah,a9dc33b4ebaa951110e9d55cc1988c73c6e04342,086911907e4100a7af69ff92781deadee3a95b4e,0358971727462b5825cc2b7d7bb33c4c87ba874b,gt3,4,3,97
apache_commons-bcel__fe6af1cab2,apache/commons-bcel,fe6af1cab222aa229fbd83616a40b9d46d856d1e,b40402d2cecaeb4c62c000d16bab0efaf84848a3,63c955c54959cef0e31e3ef4263d166c3bf38a60,gt3,5,3,98
motown-io_motown__c2ad8d6d0c,motown-io/motown,c2ad8d6d0cec1d5f43f3e7c9cb46afd45783ab0f,e50859054dca7a828dc5ce859438bf363f65c9a2,d33e1c9bb6a5e5e0ad7711a6f47075477893aa6a,gt3,4,3,99
semanticvectors_semanticvectors__9461e75688,semanticvectors/semanticvectors,9461e75688f8d1768140ecd58f13adbbc2d4c93f,dc54ade056cf4aba7ce5056a7c1216aa4622d5d3,b679d17bec13345488974a7500a0252f140ee506,gt3,4,3,100
