arm,merge_id,scenario_id,file_path,merge_outcome,JoernDataFlowInterference,JoernUnresolvedReference,JoernInfiniteLoop,JoernInvalidLoopBounds,RM2RenameConflict,file_verdict,runtime_s
ctl,apache_metamodel__f9f2bc07f3,apache_metamodel__f9f2bc07f3__core_src_test_java_org_apache_metamodel_query_parser_QueryParserTest.java,core/src/test/java/org/apache/metamodel/query/parser/QueryParserTest.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,67.46
ctl,apache_roller__d362f5d1ee,apache_roller__d362f5d1ee__app_src_main_java_org_apache_roller_weblogger_business_search_IndexManagerImpl.java,app/src/main/java/org/apache/roller/weblogger/business/search/IndexManagerImpl.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,66.452
ctl,chrsan_css-selectors__0f725a05d1,chrsan_css-selectors__0f725a05d1__src_main_java_se_fishtank_css_selectors_dom_internal_PseudoContainsSpecifierChecker.java,src/main/java/se/fishtank/css/selectors/dom/internal/PseudoContainsSpecifierChecker.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,62.514
ctl,dtrules_dtrules__621afc4ef5,dtrules_dtrules__621afc4ef5__compilerutil_src_main_java_com_dtrules_compiler_decisiontables_DTCompiler.java,compilerutil/src/main/java/com/dtrules/compiler/decisiontables/DTCompiler.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,67.62
ctl,dtrules_dtrules__621afc4ef5,dtrules_dtrules__621afc4ef5__dsl_el_src_main_java_com_dtrules_compiler_el_EL.java,dsl/el/src/main/java/com/dtrules/compiler/el/EL.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,67.515
ctl,farin_jcloisterzone__4a38e3b926,farin_jcloisterzone__4a38e3b926__src_main_java_com_jcloisterzone_engine_Engine.java,src/main/java/com/jcloisterzone/engine/Engine.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,70.374
ctl,fasseg_exp4j__184e5535f9,fasseg_exp4j__184e5535f9__src_main_java_de_congrace_exp4j_Tokenizer.java,src/main/java/de/congrace/exp4j/Tokenizer.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,69.935
ctl,fasseg_exp4j__184e5535f9,fasseg_exp4j__184e5535f9__src_test_java_de_congrace_exp4j_ExpressionBuilderTest.java,src/test/java/de/congrace/exp4j/ExpressionBuilderTest.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,78.105
ctl,fasterxml_jackson-core__be2854d5c6,fasterxml_jackson-core__be2854d5c6__src_test_java_com_fasterxml_jackson_core_filter_BasicParserFilteringTest.java,src/test/java/com/fasterxml/jackson/core/filter/BasicParserFilteringTest.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,70.493
ctl,fernandezpablo85_scribe-java__33d45e1797,fernandezpablo85_scribe-java__33d45e1797__scribejava-core_src_main_java_com_github_scribejava_core_oauth_OAuth10aService.java,scribejava-core/src/main/java/com/github/scribejava/core/oauth/OAuth10aService.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,62.63
ctl,fluentlenium_fluentlenium__d88fff0f59,fluentlenium_fluentlenium__d88fff0f59__fluentlenium-core_src_test_java_org_fluentlenium_integration_FluentLeniumWaitTest.java,fluentlenium-core/src/test/java/org/fluentlenium/integration/FluentLeniumWaitTest.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,67.35
ctl,gitools_gitools__9f09acdad0,gitools_gitools__9f09acdad0__org.gitools.ui.app_src_main_java_org_gitools_ui_app_actions_Actions.java,org.gitools.ui.app/src/main/java/org/gitools/ui/app/actions/Actions.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,64.195
ctl,greese_dasein-cloud-core__5fe1190801,greese_dasein-cloud-core__5fe1190801__src_main_java_org_dasein_cloud_compute_MachineImageSupport.java,src/main/java/org/dasein/cloud/compute/MachineImageSupport.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,63.214
ctl,jalkanen_speed4j__18370b9544,jalkanen_speed4j__18370b9544__src_main_java_com_ecyrd_speed4j_log_PeriodicalLog.java,src/main/java/com/ecyrd/speed4j/log/PeriodicalLog.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,68.157
ctl,jenkinsci_coverity-plugin__bd192d7108,jenkinsci_coverity-plugin__bd192d7108__src_main_java_jenkins_plugins_coverity_CoverityPublisher.java,src/main/java/jenkins/plugins/coverity/CoverityPublisher.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,72.333
ctl,jenkinsci_ui-samples-plugin__179ee92cdf,jenkinsci_ui-samples-plugin__179ee92cdf__src_main_java_jenkins_plugins_ui_samples_Select.java,src/main/java/jenkins/plugins/ui_samples/Select.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,70.602
ctl,jparsec_jparsec__a1fac0af65,jparsec_jparsec__a1fac0af65__jparsec_src_main_java_org_codehaus_jparsec_ScannerState.java,jparsec/src/main/java/org/codehaus/jparsec/ScannerState.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,64.202
ctl,julietkilo_canbabel__ea550c2876,julietkilo_canbabel__ea550c2876__src_main_java_com_github_canbabel_canio_dbc_DbcReader.java,src/main/java/com/github/canbabel/canio/dbc/DbcReader.java,clean,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,CLEAN,72.369
