config,arm,merge_id,scenario_id,outcome,reject_reason,classification,oracle,rt,route_effective,lanes,flags
driver-auto-off,pos,buschmais_extended-objects__46ec306cf6,buschmais_extended-objects__46ec306cf6__neo4j_remote_src_main_java_com_buschmais_xo_neo4j_remote_impl_datastore_RemoteDatastoreEntityManager.java,clean,,FP,test-label,79.07,mergiraf,,
driver-auto-off,pos,camsys_onebusaway-application-modules__915e2f3ffe,camsys_onebusaway-application-modules__915e2f3ffe__onebusaway-transit-data-federation_src_main_java_org_onebusaway_transit_data_federation_impl_beans_StopWithArrivalsAndDeparturesBeanServiceImpl.java,clean,,FP,test-label,75.773,git,,
driver-auto-off,pos,camsys_onebusaway-application-modules__e779e9fce1,camsys_onebusaway-application-modules__e779e9fce1__onebusaway-transit-data_src_main_java_org_onebusaway_transit_data_model_ArrivalsAndDeparturesQueryBean.java,clean,,FP,test-label,74.365,mergiraf,,
driver-auto-off,pos,clojure_clojure__77342d2e35,clojure_clojure__77342d2e35__src_jvm_clojure_lang_Compiler.java,clean,,FP,test-label,146.316,mergiraf,,
driver-auto-off,pos,cloudfoundry_cf-java-client__80d0a0dff9,cloudfoundry_cf-java-client__80d0a0dff9__cloudfoundry-operations_src_main_java_org_cloudfoundry_operations_serviceadmin_DefaultServiceAdmin.java,clean,,FP,test-label,82.168,git,,
driver-auto-off,pos,cloudfoundry_cf-java-client__933add90ad,cloudfoundry_cf-java-client__933add90ad__cloudfoundry-operations_src_main_java_org_cloudfoundry_operations_useradmin_DefaultUserAdmin.java,clean,,FP,test-label,83.558,git,,
driver-auto-off,pos,cloudfoundry_cf-java-client__9f6b79e294,cloudfoundry_cf-java-client__9f6b79e294__cloudfoundry-operations_src_main_java_org_cloudfoundry_operations_applications_DefaultApplications.java,clean,,FP,test-label,104.408,git,,
driver-auto-off,pos,cloudfoundry_cf-java-client__a69078adc8,cloudfoundry_cf-java-client__a69078adc8__cloudfoundry-operations_src_main_java_org_cloudfoundry_operations__DefaultCloudFoundryOperations.java,clean,,FP,test-label,75.861,git,,
driver-auto-off,pos,cloudfoundry_cf-java-client__a69078adc8,cloudfoundry_cf-java-client__a69078adc8__integration-test_src_test_java_org_cloudfoundry_IntegrationTestConfiguration.java,clean,,FP,test-label,79.379,mergiraf,,
driver-auto-off,pos,cloudfoundry_cf-java-client__a9d35d542d,cloudfoundry_cf-java-client__a9d35d542d__cloudfoundry-operations_src_main_java_org_cloudfoundry_operations_routes_DefaultRoutes.java,clean,,FP,test-label,85.041,mergiraf,,
driver-auto-off,pos,cloudfoundry_cf-java-client__a9d35d542d,cloudfoundry_cf-java-client__a9d35d542d__integration-test_src_test_java_org_cloudfoundry_operations_RoutesTest.java,clean,,FP,test-label,82.337,git,,
driver-auto-off,pos,cloudfoundry_cf-java-client__b0add1ef2a,cloudfoundry_cf-java-client__b0add1ef2a__cloudfoundry-operations_src_main_java_org_cloudfoundry_operations_services_DefaultServices.java,clean,,FP,test-label,95.076,mergiraf,,
driver-auto-off,pos,cloudfoundry_cf-java-client__be097d5860,cloudfoundry_cf-java-client__be097d5860__cloudfoundry-client-reactor_src_main_java_org_cloudfoundry_reactor__DefaultConnectionContext.java,clean,,FP,test-label,75.631,mergiraf,,
