merge_id,stratum,split
openpnp_openpnp__a3cca4daba,A,derivation
openpnp_openpnp__fb30708fe0,A,heldout
prism_prism-bukkit__15140fadb2,A,heldout
prism_prism-bukkit__6dfb9ef0cf,A,heldout
prism_prism-bukkit__74927cacad,A,heldout
progether_jadventure__9ce4a7106c,A,heldout
progether_jadventure__e28401af85,A,heldout
projectblueshift_blueshiftapi__004679e5bb,A,derivation
recruit-tech_redpen__58d3096f6c,A,heldout
relayrides_pushy__6badde9538,A,derivation
sailthru_sailthru-java-client__ee1f917600,A,derivation
samskivert_jmustache__940af397c4,A,heldout
sander2798_enderstone__3de930e0ed,A,heldout
sander2798_enderstone__b515bac1b0,A,heldout
sandergielisse_enderstone__3de930e0ed,A,heldout
sandergielisse_enderstone__b515bac1b0,A,heldout
segmentio_analytics-java__0d4a7b4e69,A,derivation
skyscreamer_nevado__cdc23cde46,A,heldout
softinstigate_restheart__98dda32101,A,derivation
softinstigate_restheart__b196d4fc15,A,heldout
softinstigate_restheart__d8673744dc,A,heldout
sps_pushover4j__88cd636fab,A,derivation
square_javapoet__d019b6f624,A,derivation
sstrickx_yahoofinance-api__216ad70070,A,heldout
steveice10_mcprotocollib__5c8a435832,A,derivation
swagger-api_swagger-parser__41ccee4da3,A,derivation
swagger-api_swagger-parser__59a85a29da,A,heldout
tabulapdf_tabula-java__767699f3aa,A,heldout
tcurdt_jdeb__77d052996a,A,derivation
thenewcircle_spring-hibernate-20120924__7ec9c1b4bb,A,derivation
tridentsdk_tridentsdk__004679e5bb,A,heldout
tumblr_jumblr__31bd6f8335,A,derivation
urbanairship_datacube__b8bef94f4d,A,derivation
urbanairship_java-library__bbe0297a10,A,derivation
vkostyukov_la4j__d216aa8928,A,derivation
vojtechhabarta_typescript-generator__51835d3c16,A,heldout
winder_universal-g-code-sender__84d687330a,A,heldout
winder_universal-g-code-sender__bc742cb4c4,A,derivation
winder_universal-g-code-sender__c93fec43ee,A,derivation
xebia_xebium__2808ba14a8,A,derivation
xebia_xebium__a82603c978,A,derivation
apache_cayenne__f10ba77a97,B,derivation
apache_commons-collections__15b62fb08d,B,heldout
apache_commons-collections__84e70353ad,B,derivation
apache_commons-collections__f0c2e97529,B,derivation
apache_directory-kerby__798f1b4348,B,derivation
apache_metamodel__c4788a2727,B,heldout
apache_opennlp__8240a2c660,B,derivation
apache_roller__1628c3a3c4,B,heldout
