merge_id,stratum,num_intersecting_csv,status,split,files_materialized,files_scored,files_dropped,dropped_reasons,truncation_level,unit_tokens,over_30k
prism_prism-bukkit__74927cacad,A,3,scored,heldout,2,1,1,conflict,T0,1022,0
prism_prism-bukkit__15140fadb2,A,2,scored,heldout,1,1,0,,T0,12146,0
prism_prism-bukkit__395b9a57a5,B,15,scored,heldout,10,10,0,,T2,20054,0
azuread_azure-activedirectory-library-for-java__d3f143872b,A,2,scored,heldout,1,1,0,,T0,23059,0
azuread_azure-activedirectory-library-for-java__c2385c17f0,B,6,scored,derivation,4,3,1,conflict,T2,29868,0
jdupl_lancoder__407742ea19,A,3,scored,derivation,2,2,0,,T0,7195,0
projectblueshift_blueshiftapi__004679e5bb,A,3,scored,derivation,1,1,0,,T0,12338,0
tabulapdf_tabula-java__767699f3aa,A,3,scored,heldout,2,1,1,conflict,T2,23710,0
nhl_link-etl__5809ccc762,B,4,scored,derivation,3,3,0,,T0,8592,0
jenkinsci_junit-plugin__cfcac8f0c9,B,7,scored,heldout,5,5,0,,T2,27938,0
jmrozanec_cron-utils__a77c0476c3,B,12,scored,derivation,11,11,0,,T2,21847,0
ahome-it_lienzo-core__bf4b253816,A,2,scored,heldout,1,1,0,,T0,9412,0
kaazing_robot__084cc0b426,A,2,scored,derivation,1,1,0,,T0,3433,0
openhab_jmdns__1ea70c3c7b,A,2,materialization_loss,,,,,,,,
dabsquared_gitlab-plugin__d555b8773d,A,2,scored,heldout,1,1,0,,T0,5601,0
sonarsource_sonar-findbugs__b2fd863305,B,8,scored,derivation,6,6,0,,T2,27950,0
jmetal_jmetal__b4630972a8,A,2,scored,derivation,1,1,0,,T0,3370,0
jmetal_jmetal__162d1a63b7,A,3,scored,derivation,2,2,0,,T0,14675,0
jmetal_jmetal__3724e879b8,B,5,scored,heldout,4,4,0,,T3/cap1/trunc400,17915,0
jmetal_jmetal__7d9295f890,A,2,scored,heldout,1,1,0,,T0,5578,0
google_truth__2e4a23bebb,A,3,scored,heldout,2,2,0,,T0,10886,0
google_truth__9289ed34ae,A,3,scored,heldout,2,2,0,,T0,6973,0
jdeparser_jdeparser2__868afefbb4,B,28,scored,derivation,25,25,0,,T3,11328,0
projectkorra_projectkorra__f76c2ce874,B,4,scored,derivation,2,2,0,,T3/cap1/trunc400,16978,0
ebay_xcelite__463d8a2f0d,B,4,scored,heldout,1,1,0,,T0,13646,0
deemopen_zkui__2843e7c28f,A,3,scored,derivation,2,2,0,,T0,7386,0
uwolfer_gerrit-rest-java-client__8e688db702,A,3,dropped_divergence,,1,0,1,conflict,,,
apache_olingo-odata4__820b462f49,A,2,scored,derivation,1,1,0,,T0,11355,0
apache_olingo-odata4__cf731c2cb8,A,3,scored,derivation,2,2,0,,T3/cap1,27731,0
nurkiewicz_java8-workshop__f5918aa79c,A,2,scored,heldout,1,1,0,,T0,2374,0
stratehm_stratum-proxy__45364d27bd,B,6,scored,derivation,2,1,1,conflict,T3/cap1/trunc400,15985,0
