merge_id,n_files,n_diverged,baseline_status,baseline_reason,experimental_status,experimental_reason,experimental_flag_lanes
jcabi_jcabi-github__b13d2596ba,2,0,PASSED,,BLOCKED,flag,JoernUnresolvedReference
jcabi_jcabi-github__e18a8ffd16,1,0,BLOCKED,flag,BLOCKED,flag,RM2RenameConflict
jcabi_jcabi-http__0c63dd0c75,1,1,ALL_DIVERGED,,ALL_DIVERGED,,
jdupl_lancoder__407742ea19,2,0,BLOCKED,flag,BLOCKED,flag,JoernUnresolvedReference
jenkinsci_coverity-plugin__2fb8690816,1,0,PASSED,,PASSED,,
jenkinsci_coverity-plugin__62bdb6232e,2,0,PASSED,,PASSED,,
jenkinsci_credentials-plugin__b9cb5f9d1b,1,0,PASSED,,BLOCKED,flag,ImportPruneUsage
jenkinsci_docker-build-publish-plugin__59faa9673c,1,0,PASSED,,PASSED,,
jenkinsci_email-ext-plugin__4def0e56a8,1,0,PASSED,,PASSED,,
jenkinsci_jira-plugin__0eec353cb5,1,0,PASSED,,PASSED,,
jenkinsci_jira-plugin__6ad78581c9,2,0,PASSED,,PASSED,,
jenkinsci_ldap-plugin__3eee59e25a,1,0,PASSED,,PASSED,,
jenkinsci_ui-samples-plugin__81bf937a3d,1,0,PASSED,,BLOCKED,flag,ImportPruneUsage
jline_jline2__348cb9dada,2,0,PASSED,,PASSED,,
jline_jline2__5869eaa93a,1,1,ALL_DIVERGED,,ALL_DIVERGED,,
jmetal_jmetal__162d1a63b7,2,0,PASSED,,PASSED,,
jmetal_jmetal__7d9295f890,1,0,PASSED,,PASSED,,
jmetal_jmetal__b4630972a8,1,0,PASSED,,PASSED,,
jnr_jnr-unixsocket__467698b6bd,2,0,PASSED,,BLOCKED,flag,ImportPruneUsage
jnr_jnr-unixsocket__f8f34e5634,1,0,PASSED,,BLOCKED,flag,ImportPruneUsage
joel-costigliola_assertj-core__1b4ad829f3,1,0,PASSED,,PASSED,,
joel-costigliola_assertj-core__74baae279d,2,1,PASSED,,PASSED,,
jparsec_jparsec__ef02642abd,1,0,PASSED,,PASSED,,
jsprit_jsprit__5cf6758085,1,0,PASSED,,PASSED,,
jwtk_jjwt__ff932e9838,1,0,PASSED,,PASSED,,
k3po_k3po__084cc0b426,1,0,PASSED,,PASSED,,
kaazing_k3po__084cc0b426,1,0,PASSED,,PASSED,,
kaazing_robot__084cc0b426,1,0,PASSED,,PASSED,,
kohsuke_github-api__4e56b8bb78,2,0,PASSED,,PASSED,,
kongchen_swagger-maven-plugin__1e61731653,1,0,PASSED,,PASSED,,
kongchen_swagger-maven-plugin__3d2ea22d07,1,0,PASSED,,PASSED,,
learning-layers_socialsemanticserver__4ada3cddc3,2,1,PASSED,,PASSED,,
lwhite1_tablesaw__13178c81a1,1,0,PASSED,,PASSED,,
mashape_unirest-java__121f85b819,1,0,PASSED,,PASSED,,
mashape_unirest-java__b43fb95f4a,1,0,PASSED,,PASSED,,
mbosecke_pebble__617aab328f,2,0,PASSED,,PASSED,,
mercadopago_sdk-java__b7498c6f9d,1,0,PASSED,,PASSED,,
mikera_vectorz__d93ef1b341,1,0,PASSED,,BLOCKED,flag,ImportPruneUsage
mitre_http-proxy-servlet__b7a68118f2,1,0,PASSED,,PASSED,,
mixpanel_mixpanel-java__bcdd1ed28f,1,0,PASSED,,PASSED,,
monitorjbl_excel-streaming-reader__8698befdf4,2,1,PASSED,,PASSED,,
movsim_movsim__00d5222b61,1,1,ALL_DIVERGED,,ALL_DIVERGED,,
movsim_movsim__6dae25caf7,2,0,PASSED,,BLOCKED,flag,ImportPruneUsage
msopentech_azure-activedirectory-library-for-java__d3f143872b,1,0,PASSED,,PASSED,,
named-data_jndn__3d47402192,1,0,PASSED,,PASSED,,
named-data_jndn__e0db451bf1,1,0,PASSED,,PASSED,,
ninjaframework_ninja__31737c1a10,2,0,PASSED,,PASSED,,
ninjaframework_ninja__45bb542cb4,2,0,PASSED,,PASSED,,
ninjaframework_ninja__663883c228,2,0,PASSED,,PASSED,,
ninjaframework_ninja__94b2365be3,2,0,PASSED,,BLOCKED,flag,ImportPruneUsage
northlander_a__c3f2865b88,1,0,PASSED,,PASSED,,
nuodb_migration-tools__2e1f6973c4,1,0,PASSED,,PASSED,,
nurkiewicz_java8-workshop__f5918aa79c,1,0,PASSED,,PASSED,,
nysenate_openlegislation__9c7cf034c1,1,0,PASSED,,PASSED,,
okleine_ncoap__99de16a6d2,1,0,PASSED,,PASSED,,
onebusaway_onebusaway-application-modules__915e2f3ffe,1,0,PASSED,,PASSED,,
onebusaway_onebusaway-application-modules__e779e9fce1,1,0,PASSED,,PASSED,,
openhft_chronicle-bytes__5bad7e86ea,1,0,PASSED,,PASSED,,
openhft_chronicle-bytes__a9e7269a84,1,1,ALL_DIVERGED,,ALL_DIVERGED,,
openhft_chronicle-bytes__e3ac571d25,1,0,PASSED,,PASSED,,
openhft_chronicle-network__fb39c8ca3b,1,1,ALL_DIVERGED,,ALL_DIVERGED,,
openpnp_openpnp__93126880a6,1,0,PASSED,,PASSED,,
openpnp_openpnp__a3cca4daba,2,1,PASSED,,PASSED,,
openpnp_openpnp__fb30708fe0,1,0,PASSED,,PASSED,,
prism_prism-bukkit__15140fadb2,1,0,PASSED,,PASSED,,
prism_prism-bukkit__6dfb9ef0cf,1,0,PASSED,,PASSED,,
prism_prism-bukkit__74927cacad,2,1,PASSED,,PASSED,,
progether_jadventure__9ce4a7106c,2,0,PASSED,,PASSED,,
progether_jadventure__e28401af85,1,0,BLOCKED,fail_closed,BLOCKED,flag,ImportPruneUsage
projectblueshift_blueshiftapi__004679e5bb,1,0,PASSED,,PASSED,,
recruit-tech_redpen__58d3096f6c,1,0,PASSED,,PASSED,,
relayrides_pushy__6badde9538,1,0,PASSED,,PASSED,,
sailthru_sailthru-java-client__ee1f917600,1,0,PASSED,,PASSED,,
samskivert_jmustache__940af397c4,1,0,PASSED,,PASSED,,
sander2798_enderstone__3de930e0ed,1,0,PASSED,,PASSED,,
sander2798_enderstone__b515bac1b0,1,0,PASSED,,BLOCKED,flag,ImportPruneUsage
sandergielisse_enderstone__3de930e0ed,1,0,PASSED,,PASSED,,
sandergielisse_enderstone__b515bac1b0,1,0,PASSED,,BLOCKED,flag,ImportPruneUsage
segmentio_analytics-java__0d4a7b4e69,2,0,PASSED,,BLOCKED,flag,ImportPruneUsage
skyscreamer_nevado__cdc23cde46,1,0,PASSED,,PASSED,,
softinstigate_restheart__98dda32101,1,0,BLOCKED,flag,BLOCKED,flag,JoernUnresolvedReference;RM2RenameConflict
softinstigate_restheart__b196d4fc15,1,0,PASSED,,PASSED,,
softinstigate_restheart__d8673744dc,2,0,PASSED,,PASSED,,
sps_pushover4j__88cd636fab,2,1,PASSED,,PASSED,,
square_javapoet__d019b6f624,2,0,PASSED,,BLOCKED,flag,ImportPruneUsage
sstrickx_yahoofinance-api__216ad70070,1,0,PASSED,,PASSED,,
steveice10_mcprotocollib__5c8a435832,1,0,PASSED,,PASSED,,
steveice10_packetlib__295cf3e47a,1,1,ALL_DIVERGED,,ALL_DIVERGED,,
swagger-api_swagger-parser__41ccee4da3,1,0,PASSED,,PASSED,,
swagger-api_swagger-parser__59a85a29da,1,0,PASSED,,PASSED,,
tabulapdf_tabula-java__767699f3aa,2,1,PASSED,,PASSED,,
tcurdt_jdeb__77d052996a,2,0,PASSED,,PASSED,,
thenewcircle_spring-hibernate-20120924__7ec9c1b4bb,1,0,PASSED,,BLOCKED,flag,ImportPruneUsage
tridentsdk_tridentsdk__004679e5bb,1,0,PASSED,,PASSED,,
tumblr_jumblr__31bd6f8335,2,0,PASSED,,BLOCKED,flag,ImportPruneUsage
urbanairship_datacube__b8bef94f4d,2,0,PASSED,,PASSED,,
urbanairship_java-library__bbe0297a10,2,0,PASSED,,PASSED,,
uwolfer_gerrit-rest-java-client__8e688db702,1,1,ALL_DIVERGED,,ALL_DIVERGED,,
vkostyukov_la4j__d216aa8928,2,0,PASSED,,PASSED,,
vojtechhabarta_typescript-generator__51835d3c16,1,0,PASSED,,BLOCKED,flag,ImportPruneUsage
warmuuh_libsass-maven-plugin__5ca7b3f086,1,1,ALL_DIVERGED,,ALL_DIVERGED,,
winder_universal-g-code-sender__84d687330a,2,0,PASSED,,PASSED,,
winder_universal-g-code-sender__bc742cb4c4,1,0,PASSED,,PASSED,,
winder_universal-g-code-sender__c93fec43ee,1,0,PASSED,,BLOCKED,flag,ImportPruneUsage
xebia_xebium__2808ba14a8,1,0,PASSED,,PASSED,,
xebia_xebium__a82603c978,1,0,PASSED,,PASSED,,
